# toimiala ; tyyppi ; tunnus ; nimi ; jakaja ; CCY
osakerahasto ; F ; FIDEUROBCH ; Fidelity Euro Blue Chip ; 1
osakerahasto ; F ; FIDE50STOX ; Fidelity Euro STOXX 50 ; 1
osakerahasto ; F ; FIDEURGROW ; Fidelity European Growth ; 1
osakerahasto ; F ; FIDEURSMCP ; Fidelity European Smaller Companies ; 1
osakerahasto ; F ; FIDFRANCE ; Fidelity France ; 1
osakerahasto ; F ; FIDGERMANY ; Fidelity Germany ; 1
osakerahasto ; F ; FIDHKCHINA ; Fidelity Hong Kong & China ; 1
osakerahasto ; F ; FIDIBERIA ; Fidelity Iberia ; 1
osakerahasto ; F ; FIDINDONES ; Fidelity Indonesia ; 1
osakerahasto ; F ; FIDINTERNA ; Fidelity International ; 1
osakerahasto ; F ; FIDITALY ; Fidelity Italy ; 1
osakerahasto ; F ; FIDJAPAN ; Fidelity Japan ; 1
osakerahasto ; F ; FIDJPSMACO ; Fidelity Japan Smaller Companies ; 1
osakerahasto ; F ; FIDKOREA ; Fidelity Korea ; 1
osakerahasto ; F ; FIDLATEMER ; Fidelity Latin America ; 1
osakerahasto ; F ; FIDMALESIA ; Fidelity Malaysia ; 1
osakerahasto ; F ; FIDNORDIC ; Fidelity Nordic ; 1
osakerahasto ; F ; FIDPACIFIC ; Fidelity Pacific ; 1
osakerahasto ; F ; FIDPRIVATI ; Fidelity Privatisation + ; 1
osakerahasto ; F ; FIDSINGAPO ; Fidelity Singapore ; 1
osakerahasto ; F ; FIDSEASIA ; Fidelity South East Asia ; 1
osakerahasto ; F ; FIDSWITZER ; Fidelity Switzerland ; 1
osakerahasto ; F ; FIDTAIWAN ; Fidelity Taiwan ; 1
osakerahasto ; F ; FIDTHAILAN ; Fidelity Thailand ; 1
osakerahasto ; F ; FIDUNITEDK ; Fidelity United Kingdom ; 1
osakerahasto ; F ; FIDWORLD ; Fidelity World ; 1
osakerahasto ; F ; FIDESMEDIA ; Fides New Media A ; 1
osakerahasto ; F ; FIDESMEDIB ; Fides New Media B ; 1
osakerahasto ; F ; FIDESTELEA ; Fides Telecom A ; 1
osakerahasto ; F ; FIDESTELEB ; Fides Telecom B ; 1
osakerahasto ; F ; FNOREUROPE ; Firstnordic Europe ; 1
osakerahasto ; F ; FNORFEAST ; Firstnordic Far East ; 1
osakerahasto ; F ; FNORGLOBAL ; Firstnordic Global ; 1
osakerahasto ; F ; FNORBIOTEC ; Firstnordic Global Biotech ; 1
osakerahasto ; F ; FNORGITINF ; Firstnordic Global IT Infrastructure ; 1
osakerahasto ; F ; FNORGLOINT ; Firstnordic Global Internet ; 1
osakerahasto ; F ; FNORGLOTEC ; Firstnordic Global Technology ; 1
osakerahasto ; F ; FNORNORDIC ; Firstnordic Nordic ; 1
osakerahasto ; F ; FNORUS ; Firstnordic US ; 1
osakerahasto ; F ; FFEUROCON ; Fleming European Convergence Fund ; 1
osakerahasto ; F ; FFDYNAMIC ; Fleming European Dynamic Fund ; 1
osakerahasto ; F ; FFGLOBAL ; Fleming Global Dynamic Fund ; 1
osakerahasto ; F ; FFGROWTH ; Fleming US Strategic Growth Fund ; 1
osakerahasto ; F ; FFVALUE ; Fleming US Strategic Value Fund ; 1
osakerahasto ; F ; FONDITA20A ; Fondita 2000+ A ; 1
osakerahasto ; F ; FONDITA20B ; Fondita 2000+ B ; 1
osakerahasto ; F ; FONDITAEQA ; Fondita Equity Spice A ; 1
osakerahasto ; F ; FONDITAEQB ; Fondita Equity Spice B ; 1
osakerahasto ; F ; FONDITANOA ; Fondita Nordic Small Cap A ; 1
osakerahasto ; F ; FONDITANOB ; Fondita Nordic Small Cap B ; 1
osakerahasto ; F ; GARCONEUR ; Gartmore SICAV Continental Europ. Fund ; 1
osakerahasto ; F ; GAREMEMAR ; Gartmore SICAV Emerging Markets Fund ; 1
osakerahasto ; F ; GAREURSMC ; Gartmore SICAV European Smaller Companies Fun ; 1
osakerahasto ; F ; GARJAPANE ; Gartmore SICAV Japanese Fund ; 1
osakerahasto ; F ; GARPANEUR ; Gartmore SICAV Pan European Fund ; 1
osakerahasto ; F ; GYLLEUEQUA ; Gyllenberg European Equity Value A ; 1
osakerahasto ; F ; GYLLEUEQUB ; Gyllenberg European Equity Value B ; 1
osakerahasto ; F ; GYLLFINLA ; Gyllenberg Finlandia A ; 1
osakerahasto ; F ; GYLLFINLB ; Gyllenberg Finlandia B ; 1
